Gen Z,Regular English
"Lowkey, We are kinda mid for real.","Honestly, we're a bit underwhelming."
He is lowkey tired right now.,He's a little tired right now.
"Highkey, He is not it tbh.","To be honest, he's definitely not that great."
"Lowkey, They are full of rizz today.",They're pretty charismatic today.
He is highkey excited tbh.,"To be honest, he's really excited."
"Lowkey, I am fire right now.",I'm pretty good right now.
My friend is highkey excited tbh.,"To be honest, my friend is really excited."
"Highkey, I am delulu lately.",I have definitely been unrealistic lately.
"Lowkey, They are not it tbh.","To be honest, they're not that great."
That girl is fire today.,That girl is really good today.
"No cap, This guy is giving weird vibes today.","Honestly, this guy is coming across as a little strange today."
"No cap, We are acting sus lately.","Honestly, we have been acting suspicious lately."
"Lowkey, We are highkey excited lately.",We have been pretty excited lately.
"No cap, We are fire right now.","Honestly, we're really good right now."
"Lowkey, I am fire lately.",I have been pretty good lately.
"Lowkey, This guy is bussin right now.",This guy is doing pretty well right now.
"No cap, That girl is bussin right now.","Honestly, that girl is doing really well right now."
"Highkey, That girl is full of rizz for real.",That girl is definitely very charismatic.
"No cap, He is fire tbh.","Honestly, he's really good."
"Highkey, She is bussin tbh.","To be honest, she's definitely doing really well."
"Lowkey, We are highkey excited right now.",We're pretty excited right now.
"No cap, She is highkey excited right now.","Honestly, she's really excited right now."
"Lowkey, He is bussin today.",He's doing pretty well today.
"No cap, My friend is acting sus today.","Honestly, my friend is acting suspicious today."
"Highkey, She is acting sus for real.",She's definitely acting suspicious.
"Highkey, My friend is acting sus right now.",My friend is definitely acting suspicious right now.
"Highkey, My friend is delulu tbh.","To be honest, my friend is definitely being unrealistic."
"Highkey, We are acting sus tbh.","To be honest, we're definitely acting suspicious."
"No cap, He is giving weird vibes lately.","Honestly, he has been coming across as a little strange lately."
"Highkey, They are not it right now.",They're definitely not that great right now.
"Lowkey, My friend is bussin tbh.","To be honest, my friend is doing pretty well."
"Highkey, They are full of rizz today.",They're definitely very charismatic today.
"No cap, My friend is kinda mid for real.","Honestly, my friend is kind of underwhelming."
"Lowkey, That girl is bussin today.",That girl is doing pretty well today.
He is not it today.,He's not that great today.
"Highkey, I am lowkey tired tbh.","To be honest, I'm definitely a little tired."
"No cap, They are lowkey tired today.","Honestly, they're a little tired today."
"Highkey, They are bussin for real.",They're definitely doing really well.
"No cap, My friend is full of rizz today.","Honestly, my friend is very charismatic today."
They are bussin tbh.,"To be honest, they're doing really well."
"Lowkey, That girl is fire lately.",That girl has been pretty good lately.
"Highkey, My friend is giving weird vibes for real.",My friend is definitely coming across as strange.
I am full of rizz tbh.,"To be honest, I'm very charismatic."
"Lowkey, My friend is not it lately.",My friend has not been that great lately.
"Highkey, He is full of rizz right now.",He's definitely very charismatic right now.
"Lowkey, They are delulu right now.",They're being a little unrealistic right now.
I am full of rizz for real.,"Seriously, I'm very charismatic."
My friend is delulu right now.,My friend is being unrealistic right now.
"Highkey, I am bussin lately.",I have definitely been doing really well lately.
"Lowkey, My friend is not it for real.","Honestly, my friend is not that great."
He is kinda mid tbh.,"To be honest, he's kind of underwhelming."
"No cap, That girl is not it tbh.","Honestly, that girl is not that great."
"Lowkey, That girl is highkey excited for real.","Honestly, that girl is pretty excited."
"Highkey, She is lowkey tired for real.",She's definitely a little tired.
That girl is kinda mid lately.,That girl has been kind of underwhelming lately.
"Lowkey, They are kinda mid right now.",They're a bit underwhelming right now.
"Highkey, We are full of rizz tbh.","To be honest, we're definitely very charismatic."
"Highkey, I am highkey excited for real.",I'm definitely really excited.
They are kinda mid for real.,"Seriously, they're kind of underwhelming."
"Highkey, This guy is fire for real.",This guy is definitely really good.
"No cap, She is delulu lately.","Honestly, she has been unrealistic lately."
He is fire today.,He's really good today.
"Lowkey, This guy is fire today.",This guy is pretty good today.
I am bussin today.,I'm doing really well today.
"Highkey, She is bussin today.",She's definitely doing really well today.
"Highkey, We are not it today.",We're definitely not that great today.
"Highkey, She is delulu right now.",She's definitely being unrealistic right now.
"Lowkey, They are highkey excited tbh.","To be honest, they're pretty excited."
"Lowkey, She is highkey excited today.",She's pretty excited today.
"Highkey, This guy is kinda mid right now.",This guy is definitely underwhelming right now.
"No cap, He is full of rizz tbh.","Honestly, he's very charismatic."
"Highkey, He is fire right now.",He's definitely really good right now.
We are lowkey tired lately.,We have been a little tired lately.
We are fire for real.,"Seriously, we're really good."
"No cap, I am kinda mid lately.","Honestly, I have been kind of underwhelming lately."
He is delulu for real.,"Seriously, he's being unrealistic."
"No cap, They are fire today.","Honestly, they're really good today."
"Highkey, This guy is acting sus today.",This guy is definitely acting suspicious today.
"Highkey, That girl is lowkey tired lately.",That girl has definitely been a little tired lately.
"No cap, This guy is fire for real.","Honestly, this guy is really good."
"Highkey, We are kinda mid right now.",We're definitely underwhelming right now.
"Highkey, That girl is full of rizz lately.",That girl has definitely been very charismatic lately.
"Lowkey, This guy is acting sus lately.",This guy has been acting a little suspicious lately.
"No cap, They are delulu today.","Honestly, they're being unrealistic today."
"Lowkey, He is not it right now.",He's not that great right now.
"Lowkey, We are full of rizz for real.","Honestly, we're pretty charismatic."
"No cap, This guy is full of rizz today.","Honestly, this guy is very charismatic today."
"Highkey, I am giving weird vibes lately.",I have definitely been coming across as strange lately.
"Lowkey, We are acting sus for real.","Honestly, we're acting a little suspicious."
"No cap, That girl is lowkey tired right now.","Honestly, that girl is a little tired right now."
"No cap, I am highkey excited lately.","Honestly, I have been really excited lately."
This guy is acting sus tbh.,"To be honest, this guy is acting suspicious."
They are highkey excited right now.,They're really excited right now.
"Lowkey, This guy is full of rizz tbh.","To be honest, this guy is pretty charismatic."
"Highkey, They are fire today.",They're definitely really good today.
"Lowkey, I am delulu today.",I'm being a little unrealistic today.
"No cap, We are bussin for real.","Honestly, we're doing really well."
"No cap, My friend is bussin tbh.","Honestly, my friend is doing really well."
"Lowkey, This guy is fire right now.",This guy is pretty good right now.
I am fire tbh.,"To be honest, I'm really good."
"Highkey, He is giving weird vibes right now.",He's definitely coming across as strange right now.
"No cap, They are not it lately.","Honestly, they have not been that great lately."
"Lowkey, I am kinda mid lately.",I have been a bit underwhelming lately.
"Lowkey, We are acting sus right now.",We're acting a little suspicious right now.
"Highkey, He is fire lately.",He has definitely been really good lately.
"Lowkey, That girl is giving weird vibes today.",That girl is coming across as a bit strange today.
My friend is giving weird vibes today.,My friend is coming across as a little strange today.
"Lowkey, My friend is bussin lately.",My friend has been doing pretty well lately.
That girl is not it right now.,That girl is not that great right now.
"Lowkey, He is acting sus today.",He's acting a little suspicious today.
"Lowkey, They are giving weird vibes lately.",They have been coming across as a bit strange lately.
He is acting sus right now.,He's acting suspicious right now.
"Highkey, He is kinda mid lately.",He has definitely been underwhelming lately.
"Highkey, We are not it lately.",We have definitely not been that great lately.
"No cap, I am kinda mid tbh.","Honestly, I'm kind of underwhelming."
"Lowkey, My friend is kinda mid today.",My friend is a bit underwhelming today.
They are acting sus for real.,"Seriously, they're acting suspicious."
"Highkey, My friend is kinda mid for real.",My friend is definitely underwhelming.
"Lowkey, He is full of rizz right now.",He's pretty charismatic right now.
"No cap, They are acting sus right now.","Honestly, they're acting suspicious right now."
"No cap, This guy is bussin today.","Honestly, this guy is doing really well today."
This guy is delulu tbh.,"To be honest, this guy is being unrealistic."
"No cap, This guy is acting sus today.","Honestly, this guy is acting suspicious today."
"Highkey, He is kinda mid for real.",He's definitely underwhelming.
"Lowkey, We are fire tbh.","To be honest, we're pretty good."
"No cap, We are acting sus today.","Honestly, we're acting suspicious today."
"Lowkey, My friend is lowkey tired right now.",My friend is a little tired right now.
"No cap, We are lowkey tired right now.","Honestly, we're a little tired right now."
"No cap, We are bussin lately.","Honestly, we have been doing really well lately."
"Highkey, That girl is kinda mid tbh.","To be honest, that girl is definitely underwhelming."
"Highkey, I am highkey excited lately.",I have definitely been really excited lately.
He is delulu right now.,He's being unrealistic right now.
She is not it for real.,"Seriously, she's not that great."
"Highkey, My friend is highkey excited right now.",My friend is definitely really excited right now.
"Highkey, That girl is delulu for real.",That girl is definitely being unrealistic.
"Highkey, We are giving weird vibes today.",We're definitely coming across as strange today.
"No cap, This guy is full of rizz lately.","Honestly, this guy has been very charismatic lately."
We are giving weird vibes for real.,"Seriously, we're coming across as a little strange."
"Lowkey, My friend is fire lately.",My friend has been pretty good lately.
She is giving weird vibes tbh.,"To be honest, she's coming across as a little strange."
"Lowkey, This guy is fire tbh.","To be honest, this guy is pretty good."
My friend is fire right now.,My friend is really good right now.
This guy is lowkey tired lately.,This guy has been a little tired lately.
"Lowkey, This guy is not it tbh.","To be honest, this guy is not that great."
"Highkey, I am fire for real.",I'm definitely really good.
"Lowkey, I am highkey excited for real.","Honestly, I'm pretty excited."
That girl is acting sus today.,That girl is acting suspicious today.
"Lowkey, I am bussin tbh.","To be honest, I'm doing pretty well."
"No cap, He is not it today.","Honestly, he's not that great today."
"Highkey, We are acting sus right now.",We're definitely acting suspicious right now.
This guy is fire for real.,"Seriously, this guy is really good."
"Highkey, I am lowkey tired today.",I'm definitely a little tired today.
This guy is highkey excited lately.,This guy has been really excited lately.
"Highkey, She is fire tbh.","To be honest, she's definitely really good."
"No cap, My friend is delulu tbh.","Honestly, my friend is being unrealistic."
"Lowkey, That girl is lowkey tired tbh.","To be honest, that girl is a little tired."
I am highkey excited for real.,"Seriously, I'm really excited."
They are giving weird vibes today.,They're coming across as a little strange today.
"Highkey, My friend is delulu today.",My friend is definitely being unrealistic today.
"Highkey, My friend is fire today.",My friend is definitely really good today.
"Lowkey, They are lowkey tired tbh.","To be honest, they're a little tired."
"Lowkey, This guy is full of rizz today.",This guy is pretty charismatic today.
This guy is not it today.,This guy is not that great today.
I am acting sus tbh.,"To be honest, I'm acting suspicious."
My friend is acting sus for real.,"Seriously, my friend is acting suspicious."
"No cap, That girl is full of rizz right now.","Honestly, that girl is very charismatic right now."
That fit is lowkey fire,That outfit looks really good
I'm dead 💀,That is extremely funny
She ate and left no crumbs,She did an excellent job
This is giving main character energy,This feels confident and central
He’s sus,He seems suspicious
I’m not vibing with this,I don’t like this
That’s cap,That’s not true
Big yikes,That is very bad or awkward
We’re so back,Things are improving again
It’s giving chaos,It feels chaotic
I’m obsessed,I really like this
This slaps,This is really good
Mid at best,It’s average
"No thoughts, just vibes","I’m not thinking deeply, just enjoying"
Touch grass,Go outside and get perspective
Stay woke,Stay aware of important issues
He’s him,He is impressive or dominant
That’s cringe,That is embarrassing
Rent free,It’s stuck in my head
Caught in 4K,Clearly proven or exposed
